KW,B.1.1.7_Anzahl,B.1.1.7_Anteil (%),B.1.617.2_Anzahl,B.1.617.2_Anteil (%),B.1.351_Anzahl,B.1.351_Anteil (%),P.1_Anzahl,P.1_Anteil (%)
KW01,5,2.1,0,0,0,0,0,0
KW02,54,8.8,0,0,8,1.3,0,0
KW03,96,5.4,0,0,12,0.7,0,0
KW04,283,10.5,0,0,13,0.5,0,0
KW05,552,17.7,0,0,24,0.8,0,0
KW06,709,20.9,0,0,19,0.6,6,0.1
KW07,1200,32.6,0,0,21,0.6,6,0.1
KW08,1891,44.1,0,0,35,0.8,2,0
KW09,1963,52.7,0,0,69,1.9,10,0.3
KW10,2503,64.7,0,0,72,1.9,4,0.1
KW11,3053,74.1,0,0,49,1.2,8,0.2
KW12,2933,80.2,1,0,57,1.5,0,0
KW13,3290,87,0,0,49,1.3,8,0.3
KW14,3534,88.7,2,0.1,75,1.9,10,0.3
KW15,3999,89,6,0.1,89,1.9,11,0.3
KW16,4440,91.1,34,0.7,46,0.9,17,0.4
KW17,3537,90.4,55,1.4,30,0.7,41,1
KW18,4279,87.1,89,1.8,126,2.5,44,0.9
KW19,3491,89,101,2.6,51,1.3,16,0.4
KW20,3616,91.2,119,3,29,0.7,29,0.8
KW21,2574,90.9,102,3.6,16,0.6,24,0.8
KW22,1892,84.5,177,7.9,9,0.4,21,0.9
KW23,1040,74.4,238,17,6,0.4,16,1.2
KW24,338,54.9,226,36.7,4,0.6,8,1.3
KW01-KW24,51272,67.4,1150,1.5,909,1.2,281,0.4
