variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,date
frac_delta[1],0.0076620441,0.00752912,0.00139375300373267,0.001317052884,0.0056074535,0.01016396,1.00017065121368,3793.06887903486,2937.81568683492,2021-04-24
frac_delta[2],0.0100397259975,0.00990478,0.00170505704790284,0.001662906399,0.0074806245,0.01306047,1.0008110769254,4454.36591192712,3549.91544173118,2021-05-01
frac_delta[3],0.0140343898525,0.0138095,0.00247541755760285,0.00235681509,0.010329985,0.01831963,1.00034506501904,3811.96789543956,3330.11159428097,2021-05-08
frac_delta[4],0.0204594934375,0.0201864,0.00353620587520622,0.00330123129,0.01529535,0.02650487,1.0014402253464,4302.39489174385,2702.01190539618,2021-05-15
frac_delta[5],0.030687139275,0.0302288,0.00509425867066062,0.00447574701,0.02351445,0.039371605,1.00057360524001,4184.97789959919,3134.01561792767,2021-05-22
frac_delta[6],0.050345031525,0.04929835,0.00822209910046231,0.00715806693,0.039052605,0.06491235,0.999858217412068,3011.91529712283,2864.36488923749,2021-05-29
frac_delta[7],0.0901759614,0.0885628,0.0123925190777718,0.01043253729,0.073601625,0.11095575,1.00006052379065,3235.28432869463,2505.083711675,2021-06-05
frac_delta[8],0.17635564575,0.1748775,0.0177228343200754,0.0152463171,0.1504441,0.20705795,0.999876790382803,3723.33626934412,2427.54024713153,2021-06-12
frac_delta[9],0.35111219825,0.3507885,0.0244252230854324,0.0222219501,0.31090135,0.39083705,1.00070044934805,4190.55207965626,3153.69736646027,2021-06-19
frac_delta[10],0.58325828075,0.585601,0.0379601811689964,0.0332013444,0.51750215,0.6403595,1.00234325373536,3833.50502265018,2997.64060869143,2021-06-26
frac_delta[11],0.7797533385,0.785434,0.053428442112821,0.0477263766,0.6837371,0.8567583,1.00053248662906,3994.42656601556,3486.38907433701,2021-07-03
frac_delta[12],0.894475719,0.9039535,0.0510918479522451,0.0431184558,0.79522115,0.9578941,1.0000947375642,4172.89567689987,3547.19848824852,2021-07-10
frac_delta[13],0.9490390765,0.960432,0.0424137615254393,0.0272991138,0.8658781,0.9888934,1.00019174074351,4276.14472765782,3455.99613395544,2021-07-17
frac_delta[14],0.9735152645,0.984578,0.0362548128041975,0.0142559403000001,0.91012625,0.9973591,1.00058068184553,4378.30541237049,3307.06663708634,2021-07-24
frac_delta[15],0.984317526,0.9939725,0.0360615366854819,0.00671543670000011,0.9398057,0.9994291,1.00089873173569,4459.65546213422,3098.57090999279,2021-07-31
